Timestamp | Step | Train Loss | Validation Loss
2025-04-22 23:14:50 | 1560 | 0.232261 | 0.270619
2025-04-22 23:14:53 | 1570 | 0.257190 | 0.270619
2025-04-22 23:14:57 | 1580 | 0.220942 | 0.270619
2025-04-22 23:15:01 | 1590 | 0.358283 | 0.270619
2025-04-22 23:15:04 | 1600 | 0.271262 | 0.270619
2025-04-22 23:15:08 | 1610 | 0.318772 | 0.270619
2025-04-22 23:15:11 | 1620 | 0.260319 | 0.270619
2025-04-22 23:15:15 | 1630 | 0.158253 | 0.270619
2025-04-22 23:15:19 | 1640 | 0.367932 | 0.270619
2025-04-22 23:15:22 | 1650 | 0.235731 | 0.270619
2025-04-22 23:15:26 | 1660 | 0.209337 | 0.270619
2025-04-22 23:15:29 | 1670 | 0.348196 | 0.270619
2025-04-22 23:15:33 | 1680 | 0.322404 | 0.270619
2025-04-22 23:15:36 | 1690 | 0.172797 | 0.270619
2025-04-22 23:15:40 | 1700 | 0.251849 | 0.270619
2025-04-22 23:15:44 | 1710 | 0.247619 | 0.270619
2025-04-22 23:15:47 | 1720 | 0.222626 | 0.270619
2025-04-22 23:15:51 | 1730 | 0.269759 | 0.270619
2025-04-22 23:15:54 | 1740 | 0.180338 | 0.270619
2025-04-22 23:15:58 | 1750 | 0.316082 | 0.270619
2025-04-22 23:16:02 | 1760 | 0.233319 | 0.270619
2025-04-22 23:16:05 | 1770 | 0.236950 | 0.270619
2025-04-22 23:16:09 | 1780 | 0.270395 | 0.270619
2025-04-22 23:16:12 | 1790 | 0.180221 | 0.270619
2025-04-22 23:16:16 | 1800 | 0.148104 | 0.270619
2025-04-22 23:17:49 | 1810 | 0.179788 | 0.176006
2025-04-22 23:17:52 | 1820 | 1.718749 | 0.176006
2025-04-22 23:17:56 | 1830 | 1.867520 | 0.176006
2025-04-22 23:17:59 | 1840 | 0.936335 | 0.176006
2025-04-22 23:18:03 | 1850 | 0.260099 | 0.176006
2025-04-22 23:18:06 | 1860 | 0.241385 | 0.176006
2025-04-22 23:18:10 | 1870 | 0.244105 | 0.176006
2025-04-22 23:18:14 | 1880 | 0.255891 | 0.176006
2025-04-22 23:18:17 | 1890 | 0.263139 | 0.176006
2025-04-22 23:18:21 | 1900 | 0.121983 | 0.176006
2025-04-22 23:18:24 | 1910 | 0.234252 | 0.176006
2025-04-22 23:18:28 | 1920 | 0.144023 | 0.176006
2025-04-22 23:18:32 | 1930 | 0.168626 | 0.176006
2025-04-22 23:18:35 | 1940 | 0.158030 | 0.176006
2025-04-22 23:18:39 | 1950 | 0.224162 | 0.176006
2025-04-22 23:18:42 | 1960 | 0.188726 | 0.176006
2025-04-22 23:18:46 | 1970 | 0.187017 | 0.176006
2025-04-22 23:18:50 | 1980 | 0.197032 | 0.176006
2025-04-22 23:18:53 | 1990 | 0.248988 | 0.176006
2025-04-22 23:18:57 | 2000 | 0.252298 | 0.176006
2025-04-22 23:20:29 | 2010 | 0.273215 | 0.176006
2025-04-22 23:20:33 | 2020 | 0.174110 | 0.176006
2025-04-22 23:20:36 | 2030 | 0.195483 | 0.176006
2025-04-22 23:20:40 | 2040 | 0.198854 | 0.176006
2025-04-22 23:20:44 | 2050 | 0.201722 | 0.176006
2025-04-22 23:20:47 | 2060 | 0.184689 | 0.176006
2025-04-22 23:20:51 | 2070 | 0.175832 | 0.176006
2025-04-22 23:20:54 | 2080 | 0.201611 | 0.176006
2025-04-22 23:20:58 | 2090 | 0.193973 | 0.176006
2025-04-22 23:21:02 | 2100 | 0.161307 | 0.176006
2025-04-22 23:21:05 | 2110 | 0.144919 | 0.176006
2025-04-22 23:21:09 | 2120 | 0.158206 | 0.176006
2025-04-22 23:21:12 | 2130 | 0.236547 | 0.176006
2025-04-22 23:21:16 | 2140 | 0.175046 | 0.176006
2025-04-22 23:21:20 | 2150 | 0.182880 | 0.176006
2025-04-22 23:21:23 | 2160 | 0.210997 | 0.176006
2025-04-22 23:22:57 | 2170 | 0.148402 | 0.131564
2025-04-22 23:23:00 | 2180 | 0.101700 | 0.131564
2025-04-22 23:23:04 | 2190 | 0.112497 | 0.131564
2025-04-22 23:23:07 | 2200 | 0.082917 | 0.131564
2025-04-22 23:23:11 | 2210 | 0.083202 | 0.131564
2025-04-22 23:23:15 | 2220 | 0.107286 | 0.131564
2025-04-22 23:23:18 | 2230 | 0.208706 | 0.131564
2025-04-22 23:23:22 | 2240 | 0.176904 | 0.131564
2025-04-22 23:23:26 | 2250 | 0.158325 | 0.131564
2025-04-22 23:23:29 | 2260 | 0.167251 | 0.131564
2025-04-22 23:23:33 | 2270 | 0.169092 | 0.131564
2025-04-22 23:23:37 | 2280 | 0.150421 | 0.131564
2025-04-22 23:23:40 | 2290 | 0.120280 | 0.131564
2025-04-22 23:23:44 | 2300 | 0.192458 | 0.131564
2025-04-22 23:23:47 | 2310 | 0.120907 | 0.131564
2025-04-22 23:23:51 | 2320 | 0.142271 | 0.131564
2025-04-22 23:23:55 | 2330 | 0.124563 | 0.131564
2025-04-22 23:23:58 | 2340 | 0.225812 | 0.131564
2025-04-22 23:24:02 | 2350 | 0.143244 | 0.131564
2025-04-22 23:24:05 | 2360 | 0.123332 | 0.131564
2025-04-22 23:24:09 | 2370 | 0.172006 | 0.131564
2025-04-22 23:24:12 | 2380 | 0.162120 | 0.131564
2025-04-22 23:24:16 | 2390 | 0.245814 | 0.131564
2025-04-22 23:24:20 | 2400 | 0.150410 | 0.131564
2025-04-22 23:24:23 | 2410 | 0.220081 | 0.131564
2025-04-22 23:24:27 | 2420 | 0.155098 | 0.131564
2025-04-22 23:24:30 | 2430 | 0.105923 | 0.131564
2025-04-22 23:24:34 | 2440 | 0.188799 | 0.131564
2025-04-22 23:24:38 | 2450 | 0.150653 | 0.131564
